age,AT
416000,-4.479381794661461
417000,-3.0265949662813725
418000,-4.085747169449223
419000,-4.684975792059913
420000,-5.295449256362102
421000,-5.660985857987553
422000,-6.019786858518828
423000,-6.670790773202703
424000,-6.63023804841768
425000,-5.618943228323602
426000,-4.50255783759859
427000,-5.200281478013946
428000,-5.231777116856567
429000,-5.8025812720826915
430000,-6.780338151751491
431000,-6.264458513646162
432000,-6.499833692257281
433000,-6.5974959530170585
434000,-6.722460708331265
435000,-6.7207177215425125
436000,-6.395915722371595
437000,-7.08514431665053
438000,-7.207392698952861
439000,-7.770417472201207
440000,-7.850644723853205
441000,-7.992695284848474
442000,-7.860718130936985
443000,-7.840795822315941
444000,-7.509494319369302
445000,-6.8581480838901845
446000,-6.805767186701304
447000,-6.7519793160284545
448000,-6.9273605253374635
449000,-6.6215405739663895
450000,-6.287659102839521
451000,-7.521162987785577
452000,-7.535052740336652
453000,-7.6951724465827676
454000,-7.881855406056862
455000,-7.948094982422099
456000,-8.278364335003939
457000,-8.284229532448187
458000,-7.80956025384175
459000,-5.909485805068047
460000,-4.598942903796563
461000,-3.136403266326454
462000,-1.6996321537798587
463000,0.37083417609857716
464000,2.9630211586237216
465000,4.563534039814127
466000,4.028972754509813
467000,2.190609668693684
468000,0.5566873864818563
469000,0.7043102878545999
470000,0.47987399083406745
471000,0.3315437455888184
472000,-0.13763142605954948
473000,-0.4101595310622652
474000,-1.2148211837095049
475000,-1.8021391778524694
476000,-2.482351610314793
477000,-3.1957641473713316
478000,-3.9758059578255693
479000,-4.560712978552349
480000,-5.269929107339406
481000,-4.387774823127231
482000,-3.335161723766583
483000,-1.7456931640567952
484000,-2.570920993447988
485000,-3.3255943387726132
486000,-3.189245014704161
487000,-4.094008738010249
488000,-4.332541309270558
489000,-4.624993576350668
490000,-4.5520484147414715
491000,-5.322067914384412
492000,-5.90674219539265
493000,-4.8514746205216905
494000,-4.357223896555469
495000,-4.705196205298923
496000,-5.781588232279934
497000,-6.174624799953243
498000,-5.751173372399222
499000,-5.4239895586682465
500000,-6.180999284194411
501000,-6.967777191337746
502000,-5.962814619652534
503000,-4.998620414170162
504000,-6.33209434406409
505000,-5.780197403914416
506000,-5.154903067445798
507000,-4.510813464772355
508000,-3.909184676354675
509000,-2.863615018623584
510000,-3.556919694470208
511000,-3.769599029870232
512000,-3.944910389976254
513000,-4.460007385606987
514000,-4.721806473668932
515000,-5.447856847960908
516000,-5.663278169210213
517000,-6.268660188147664
518000,-6.923085259766508
519000,-7.108719318703179
520000,-7.662193007358364
521000,-7.588806683012137
522000,-8.147808197618911
523000,-7.602919917117339
524000,-8.13483636762812
525000,-8.203953891980694
526000,-8.374341341211304
527000,-8.279559262550107
528000,-8.326347354644874
529000,-7.798250728347672
530000,-7.770635817492198
531000,-7.453106892391152
532000,-6.920229816508022
533000,-6.76035710687403
534000,-6.388339227432326
535000,-5.60402191469133
536000,-6.536321844923489
537000,-6.8314708615917965
538000,-5.857373751389694
539000,-6.587159782729074
540000,-6.307136197220129
541000,-5.8728836720304685
542000,-6.133112448435529
543000,-6.942543851588845
544000,-6.848835254352453
545000,-6.473129333792276
546000,-6.687550104355577
547000,-6.895475677419217
548000,-6.226413421326854
549000,-6.3342973778341705
550000,-5.1306284133450895
551000,-4.722997590138835
552000,-5.069040983290413
553000,-3.8223573380511073
554000,-0.9569565816270342
555000,0.6175912247577526
556000,2.18263124901314
557000,2.2041320315072097
558000,0.4731080761900408
559000,-0.6989217005406723
560000,-1.4953104713453274
561000,-1.9740728574601263
562000,-2.7404557148872914
563000,-3.4435642798537067
564000,-3.864834885761648
565000,-4.8805758475544865
566000,-5.930829477070939
567000,-6.1396561356280985
568000,-6.757533066749674
569000,-5.908997275235816
570000,-6.927055095953899
571000,-6.942058977418099
572000,-5.516005975704604
573000,-5.272338449290398
574000,-6.548117660394914
575000,-7.258615258985913
576000,-6.836080420548994
577000,-6.412980666614495
578000,-5.480128377708387
579000,-4.540303839550142
580000,-3.674973803692688
581000,-2.8766016052071137
582000,-1.9675951135076424
583000,-0.7722195916286345
584000,-0.06686216384305999
585000,-0.5088033824559195
586000,-1.0281789688364158
587000,-1.2620214730989605
588000,-1.4485864534817707
589000,-1.5479679294023263
590000,-2.038899472510632
591000,-2.6087183683680726
592000,-2.9357082993835935
593000,-3.524847987761862
594000,-3.9775823710768927
595000,-4.144659071185223
596000,-4.230072504850374
597000,-2.3794647400689524
598000,-1.6350701617993615
599000,-1.1270002259957141
600000,-1.4022477450676722
601000,-2.1450455710547747
602000,-2.962477213359228
603000,-3.672892637436953
604000,-4.80067237442622
605000,-5.376954543383701
606000,-5.135317647887416
607000,-4.8048570744260575
608000,-6.369718489833593
609000,-6.200087795020922
610000,-5.601458326030947
611000,-4.074801227248864
612000,-6.087297019262386
613000,-7.066960899317524
614000,-7.372650724424795
615000,-7.659308237098528
616000,-7.9319501695287284
617000,-7.743074740654264
618000,-7.673252857675599
619000,-7.316257990996577
620000,-6.296679865295592
621000,-4.977815180457301
622000,-5.991182105016619
623000,-7.789156188781447
624000,-6.551518658306596
625000,-7.296113911708521
626000,-6.787209027206358
627000,-5.75924741603253
628000,-7.391709856406382
629000,-7.033655621602281
630000,-6.415183764770869
631000,-5.879055339832656
632000,-7.12337860851579
633000,-7.68568297679209
634000,-7.869862014251258
635000,-7.971537656775369
636000,-6.56630486411258
637000,-6.779784690439579
638000,-7.645566455795579
639000,-7.308306275255062
640000,-6.008397568327547
641000,-8.018178078307688
642000,-8.578432064713507
643000,-8.504584222376918
644000,-8.085938013951044
645000,-7.706863724839839
646000,-7.6062249205164685
647000,-7.055561116889369
648000,-7.187954483876923
649000,-7.1335633180198
650000,-7.535380100527939
651000,-7.385174718811009
652000,-7.867588776560944
653000,-8.145055139973078
654000,-7.815404320607025
655000,-8.182082765410334
656000,-8.171913824256503
657000,-8.29655318316392
658000,-8.633002368487816
659000,-8.727627037754885
660000,-9.248532770167936
661000,-8.53839333012688
662000,-8.22166628868276
663000,-7.321029296474266
664000,-6.0059621475909735
665000,-3.814603951573594
666000,-2.583789466135622
667000,-0.7520075747842034
668000,1.1697888722504277
669000,2.72141620111856
670000,3.181801191586638
671000,2.922855867744036
672000,1.666495959537823
673000,1.1854446110844123
674000,1.4210932019628895
675000,1.384825947217926
676000,1.3099943646604566
677000,0.697077795119263
678000,0.544011042112411
679000,0.4489472347247775
680000,0.2037779792362292
681000,-1.2312697075167784
682000,-1.6168895195002089
683000,-2.746161386873186
684000,-3.5938051324108846
685000,-4.405347434297405
686000,-5.09610820611342
687000,-5.322834716740546
688000,-5.536488349945884
689000,-5.980656834005311
690000,-6.384212773831793
691000,-5.3240122487768575
692000,-3.6773382882234005
693000,-3.814460720019376
694000,-4.042343524273938
695000,-4.9294446229681155
696000,-3.7978188465812437
697000,-2.9643499556862984
698000,-3.3059377717615863
699000,-3.7091890937348673
700000,-3.624292311852611
701000,-4.0588800965924925
702000,-3.6444609520239144
703000,-3.790094964722062
704000,-3.589183987637668
705000,-3.3705333199347196
706000,-4.00097626215468
707000,-4.830003348306177
708000,-4.640966489425822
709000,-4.826795465881625
710000,-5.122880587931726
711000,-5.652043639330934
712000,-4.911671436457521
713000,-4.347806920832962
714000,-3.7215532815191583
715000,-2.626469133931824
716000,-2.364761407885249
717000,-3.3071666072734613
718000,-3.153088994320295
719000,-3.969306391338776
720000,-4.70713672956078
721000,-5.222249392475567
722000,-5.393600720139872
723000,-5.990319707882231
724000,-4.953062057127839
725000,-5.05759402169342
726000,-6.525919812469559
727000,-5.8550592102681
728000,-5.34617843132896
729000,-6.887054170336445
730000,-7.823171643267837
731000,-8.06821208023738
732000,-7.929110979849136
733000,-8.158492501904455
734000,-7.634577595037707
735000,-6.853112733678329
736000,-7.7725094472651515
737000,-6.80304115243026
738000,-6.029726286555589
739000,-5.458931985944472
740000,-4.800257675731123
741000,-5.6709453319947505
742000,-5.694180027579719
743000,-7.219925751463776
744000,-5.965428952357691
745000,-5.457552007945803
746000,-5.677284672837739
747000,-5.458237514354219
748000,-6.403195764764672
749000,-6.517478155872264
750000,-6.806860071623141
751000,-6.1243795247199975
752000,-5.4396017521955216
753000,-4.989506516513603
754000,-6.4748235772349
755000,-7.206302309530595
756000,-6.348235722464859
757000,-7.725988916334047
758000,-7.394515817274197
759000,-7.563117682299502
760000,-5.537661979824118
761000,-5.864173788133639
762000,-7.199132208735277
763000,-7.586167569318722
764000,-7.250373092937351
765000,-8.493419532740539
766000,-8.732101175037977
767000,-7.582648345263847
768000,-8.156608937256665
769000,-8.76814419407981
770000,-7.950100228275208
771000,-8.318206022430003
772000,-9.092490201562232
773000,-9.041835521445696
774000,-9.168822259992059
775000,-8.554251910397166
776000,-8.596882995681682
777000,-8.659585318049634
778000,-9.049598158296886
779000,-8.958357676464917
780000,-8.759048644037284
781000,-7.849570606113193
782000,-6.456665213550121
783000,-3.782115391322725
784000,-2.74984454795849
785000,-2.9556038177845374
786000,-2.874729765989536
787000,-0.2691791764681131
788000,0.8307308957381982
789000,0.9922458582250352
790000,0.24644101134507707
791000,0.13297947520083592
792000,-0.06572662738006171
793000,0.5197517388432541
794000,0.6657300911262005
795000,0.6557977049906031
796000,-0.014437298889079964
797000,0.35823838159828103
798000,-0.5519822569020774
